train_id,train_name,seq_no,station_code,scheduled_arrival,scheduled_departure,distance_km,average_delay_minutes,pct_right_time,pct_slight_delay,pct_significant_delay,pct_cancelled_unknown,train_priority,total_stops,remaining_stops,remaining_distance_km,pct_journey_completed,arr_min,dep_min,scheduled_halt_duration_min,hist_delay_lag1,hist_delay_lag2,section_delay_gradient,station_congestion_index,target_next_station_delay,target_dest_delay
11013,COIMBATORE E,1,LTT,22:35:00,22:35:00,0.0,26.0,80.0,6.67,13.33,0.0,1,34,33,1515.0,0.0,1355,1355,0,0.0,0.0,26.0,22.75,26.0,31.0
11013,COIMBATORE E,2,TNA,22:53:00,22:55:00,17.0,26.0,76.67,10.0,13.33,0.0,1,34,32,1498.0,0.011221122112211221,1373,1375,2,26.0,0.0,0.0,32.33,30.0,31.0
11013,COIMBATORE E,3,KYN,23:15:00,23:18:00,37.0,30.0,60.0,26.67,13.33,0.0,1,34,31,1478.0,0.02442244224422442,1395,1398,3,26.0,26.0,4.0,34.0,45.0,31.0
11013,COIMBATORE E,4,PUNE,01:50:00,01:55:00,175.0,45.0,0.0,80.0,20.0,0.0,1,34,30,1340.0,0.11551155115511551,110,115,5,30.0,26.0,15.0,26.75,60.0,31.0
11013,COIMBATORE E,5,KWV,04:33:00,04:35:00,362.0,60.0,3.33,70.0,26.67,0.0,1,34,29,1153.0,0.23894389438943894,273,275,2,45.0,30.0,15.0,38.33,51.0,31.0
11013,COIMBATORE E,6,SUR,06:25:00,06:35:00,441.0,51.0,20.0,63.33,16.67,0.0,1,34,28,1074.0,0.29108910891089107,385,395,10,60.0,45.0,-9.0,36.88,63.0,31.0
11013,COIMBATORE E,7,DUD,07:38:00,07:40:00,504.0,63.0,10.0,60.0,30.0,0.0,1,34,27,1011.0,0.3326732673267327,458,460,2,51.0,60.0,12.0,43.25,67.0,31.0
11013,COIMBATORE E,8,GUR,08:08:00,08:10:00,527.0,67.0,6.67,56.67,36.67,0.0,1,34,26,988.0,0.34785478547854787,488,490,2,63.0,51.0,4.0,43.5,54.0,31.0
11013,COIMBATORE E,10,SDB,09:13:00,09:15:00,580.0,54.0,13.33,70.0,16.67,0.0,1,34,24,935.0,0.38283828382838286,553,555,2,67.0,63.0,-13.0,26.25,26.0,31.0
11013,COIMBATORE E,11,WADI,09:55:00,10:00:00,590.0,26.0,70.0,16.67,13.33,0.0,1,34,23,925.0,0.38943894389438943,595,600,5,54.0,67.0,-28.0,19.81,31.0,31.0
